L2PC10_1.h5	194.690002	-595.510010	304.070007	-173.520004	845.280029	269.700012	3.600000	1.110000
L2PC10_2.h5	43.880001	-760.299988	376.829987	-135.250000	408.619995	173.100006	2.660000	1.670000
L2PC11_2.h5	427.970001	-1328.500000	177.970001	-85.250000	279.859985	128.990005	2.400000	1.200000
L2PC12_1.h5	548.440002	-344.980011	379.839996	-114.110001	835.229980	192.309998	3.600000	1.200000
L2PC13_1.h5	42.480000	-1353.130005	345.170013	-121.379997	988.219971	139.059998	2.500000	1.110000
L2PC13_2.h5	183.110001	-807.109985	222.449997	-120.860001	394.450012	128.059998	2.220000	1.330000
L2PC14_1.h5	194.690002	-595.510010	347.000000	-99.919998	845.280029	145.149994	3.600000	1.110000
L2PC15_1.h5	-7.370000	-324.179993	377.559998	-88.879997	219.380005	149.410004	3.050000	1.200000
L2PC16_1.h5	84.480003	-914.200012	339.329987	-130.149994	536.929993	182.050003	4.160000	1.110000
L2PC16_2.h5	2.060000	-1528.069946	222.070007	-120.879997	406.799988	130.259995	2.220000	1.110000
L2PC17_1.h5	-6.920000	-332.929993	341.079987	-150.910004	149.970001	142.729996	4.160000	1.200000
L2PC17_2.h5	-6.960000	-1490.310059	386.410004	-113.790001	532.169983	143.669998	4.440000	1.670000
L2PC19_2.h5	427.970001	-1328.500000	224.410004	-123.879997	279.859985	123.970001	2.400000	1.200000
L2PC1_1.h5	132.910004	-653.159973	369.859985	-146.220001	771.260010	187.479996	2.220000	1.390000
L2PC20_1.h5	-8.250000	-339.730011	340.570007	-92.220001	237.800003	144.220001	3.600000	1.200000
L2PC20_2.h5	63.369999	-720.190002	191.529999	-94.559998	534.820007	120.870003	2.400000	1.670000
L2PC21_2.h5	91.510002	-874.369995	210.369995	-70.650002	425.640015	106.860001	2.220000	1.330000
L2PC22_1.h5	295.989990	-696.809998	346.829987	-123.129997	1546.310059	128.169998	2.220000	1.390000
L2PC22_2.h5	236.880005	-883.080017	186.970001	-90.730003	395.339996	106.019997	2.400000	1.330000
L2PC23_2.h5	375.880005	-336.850006	219.210007	-86.550003	680.390015	104.750000	2.660000	1.330000
L2PC24_2.h5	236.880005	-883.080017	354.989990	-95.050003	395.339996	103.449997	2.400000	1.330000
L2PC25_1.h5	467.750000	-1339.780029	336.299988	-123.349998	1316.290039	186.929993	4.200000	1.390000
L2PC25_2.h5	-7.020000	-1479.510010	211.910004	-88.309998	832.750000	148.119995	2.400000	1.200000
L2PC26_1.h5	266.089996	-504.500000	412.359985	-173.610001	889.549988	170.779999	3.000000	1.110000
L2PC26_2.h5	375.880005	-336.850006	221.589996	-122.370003	680.390015	113.570000	2.660000	1.330000
L2PC28_1.h5	-5.720000	-345.380005	344.380005	-88.709999	154.000000	201.729996	4.200000	1.200000
L2PC28_2.h5	-7.020000	-1479.510010	152.850006	-101.379997	832.750000	100.699997	2.400000	1.200000
L2PC2_1.h5	-7.860000	-575.250000	334.190002	-79.250000	500.670013	105.139999	3.600000	1.110000
L2PC2_2.h5	91.510002	-874.369995	349.380005	-132.169998	425.640015	130.880005	2.220000	1.330000
L2PC30_1.h5	112.809998	-1398.550049	357.510010	-167.649994	932.940002	182.860001	3.600000	1.110000
L2PC30_2.h5	333.250000	-1188.020020	357.209991	-112.830002	553.520020	118.220001	2.660000	1.330000
L2PC31_1.h5	95.720001	-707.369995	258.119995	-88.040001	452.989990	174.529999	3.600000	1.110000
L2PC32_1.h5	174.720001	-1050.859985	322.700012	-185.649994	1337.369995	146.149994	3.000000	1.110000
L2PC32_2.h5	332.149994	-431.059998	371.880005	-85.959999	549.239990	119.940002	2.220000	1.200000
L2PC34_1.h5	210.690002	-602.859985	337.450012	-104.750000	427.910004	171.779999	2.220000	1.390000
L2PC34_2.h5	375.880005	-336.850006	366.910004	-120.589996	680.390015	131.720001	2.660000	1.330000
L2PC35_1.h5	595.330017	-1485.050049	336.109985	-116.209999	1085.839966	180.660004	2.220000	1.390000
L2PC36_2.h5	236.880005	-883.080017	220.910004	-73.790001	395.339996	95.790001	2.400000	1.330000
L2PC37_1.h5	-6.920000	-332.929993	243.309998	-89.400002	149.970001	99.580002	4.160000	1.200000
L2PC38_1.h5	65.349998	-987.419983	265.959991	-114.650002	530.260010	254.270004	2.500000	1.110000
L2PC39_2.h5	48.209999	-808.409973	220.580002	-80.570000	487.269989	95.000000	4.440000	1.670000
L2PC40_1.h5	801.159973	-1084.329956	320.329987	-111.150002	1470.369995	165.750000	4.160000	1.390000
L2PC40_2.h5	43.880001	-760.299988	254.160004	-112.220001	408.619995	119.489998	2.660000	1.670000
L2PC41_1.h5	156.389999	-1279.750000	355.679993	-105.089996	986.150024	163.160004	3.600000	1.110000
L2PC41_2.h5	2.060000	-1528.069946	219.949997	-114.290001	406.799988	127.959999	2.220000	1.110000
L2PC42_1.h5	-7.370000	-324.179993	298.149994	-138.490005	219.380005	272.329987	3.050000	1.200000
L2PC42_2.h5	195.009995	-915.330017	389.429993	-87.519997	889.179993	83.680000	4.440000	1.670000
L2PC43_1.h5	-8.250000	-339.730011	267.359985	-108.160004	237.800003	162.550003	3.600000	1.200000
