R-C010306B.h5	102.102498	-28.057499	110.582502	3.262500	121.066071	88.919998	2.340000	1.840000
R-C010306F.h5	-7.669211	-170.379215	117.730793	-148.049214	104.868424	363.578408	2.090000	1.970000
R-C010306G.h5	94.482191	-283.787821	59.822187	-145.877817	244.272504	116.317500	2.580000	2.090000
R-C010306H.h5	55.092424	-76.967577	54.172422	-122.637575	163.509085	70.980912	1.110000	2.460000
R-C010306I.h5	-7.662264	-123.882261	66.647737	-23.572264	106.926793	128.893207	1.350000	1.970000
R-C010306K.h5	18.285228	-145.424771	52.705226	-41.924771	103.963408	101.209090	2.340000	1.600000
R-C010306L.h5	24.053823	-148.496176	70.653825	-88.256179	187.970001	119.715884	1.840000	2.090000
R-C010306M.h5	108.370860	-586.049131	106.680857	-57.619142	209.719144	221.859143	1.600000	2.340000
R-C010398B-I4_cor_repaired.h5	515.755394	-840.784645	156.275383	-271.714607	752.923060	166.846929	2.670000	1.330000
R-C010398B-P2.h5	419.262676	-1723.537372	463.142681	-88.007335	1368.894015	140.923998	2.000000	1.330000
R-C010398B-P3_repaired.h5	432.689447	-470.160559	458.399438	-156.140555	1233.960517	162.620551	2.670000	1.330000
R-C010600A2_repaired.h5	201.070007	-447.940002	223.570007	-291.290009	419.976886	292.256885	4.160000	0.830000
R-C010600B1_repaired.h5	511.513899	-391.806109	312.613874	-409.946123	490.776665	242.106667	4.430000	1.110000
R-C010600C1_repaired.h5	111.338458	-457.711530	281.898455	-292.601545	343.226165	282.883851	2.220000	0.550000
R-C030397A-P2_repaired.h5	174.362143	-634.517877	915.482123	-186.647851	1565.075670	478.205706	5.420000	4.820000
R-C030397A-P3_repaired.h5	1007.856652	-1106.503333	911.856652	-30.033334	1206.955294	355.897327	4.220000	8.340000
R-C030796A-P2_repaired.h5	883.619407	-670.910561	1098.899436	-125.380585	899.155855	275.415896	7.740000	8.340000
R-C030796A-P3_repaired.h5	1113.301649	-631.468371	1183.041639	-287.498400	731.849976	271.458391	9.880000	4.900000
R-C031097B-I4_repaired.h5	558.166137	-432.753846	235.296157	-30.253846	519.899255	251.360770	4.430000	0.830000
R-C031097B-P3_repaired.h5	244.531874	-575.998125	331.871870	-50.288126	1327.226230	153.770629	2.770000	1.110000
R-C040600B1_repaired.h5	281.187336	-377.362652	218.607334	-237.412670	447.395327	216.504667	3.050000	1.110000
R-C040600B3_repaired.h5	268.596006	-437.644015	133.175993	-202.143999	305.283999	183.986006	2.490000	0.830000
R-C040896A-P2_repaired.h5	472.672680	-635.347309	1102.502667	-175.747333	761.691336	167.318674	5.400000	1.800000
R-C040896A-P3_repaired.h5	636.869995	-555.429993	843.020019	-190.729996	1375.665669	346.345631	8.400000	4.820000
R-C050398B-P1_repaired.h5	244.195997	-1280.754000	390.055998	-172.614001	523.319341	246.380672	3.890000	1.390000
R-C050600B1_repaired.h5	298.517846	-707.292121	275.407861	-265.452155	598.829303	149.109286	3.050000	0.670000
R-C050600B2_repaired.h5	464.704387	-1984.315571	244.214382	-485.365620	757.010010	485.317507	2.770000	0.550000
R-C050800E2_cor_repaired.h5	402.652661	-391.197345	196.002667	-196.467334	460.544675	230.822007	3.320000	2.490000
R-C050896A-P1_repaired.h5	47.008094	-250.181897	939.438098	-176.391904	716.711927	227.978091	3.000000	1.800000
R-C050896A-P2_repaired.h5	998.432135	-667.167840	892.392157	-190.417855	1244.418615	285.809283	3.610000	8.340000
R-C050896A-P3_repaired.h5	384.721876	-595.148149	904.071882	-194.518129	785.409973	238.281874	4.820000	3.010000
R-C060106B.h5	72.964285	-110.225718	60.174284	-99.635714	183.984281	82.220716	0.980000	1.720000
R-C060106F.h5	34.876001	-218.914004	29.996000	-108.754000	931.465971	113.624003	3.690000	4.300000
R-C060106G.h5	35.119473	-67.580528	21.089474	-34.310528	520.332649	82.137368	3.810000	4.670000
R-C060600A2_repaired.h5	342.103536	-637.426463	165.883534	-357.146464	348.378828	223.211183	3.880000	0.550000
R-C060600A3_repaired.h5	346.677850	-479.062140	265.347863	-235.942145	338.327844	232.215716	2.490000	0.830000
R-C060998B-P4_repaired.h5	399.140015	-814.750000	467.299988	-92.239998	1077.538460	237.971580	2.490000	0.830000
R-C070600A2_repaired.h5	541.778363	-367.581653	306.858319	-211.891666	447.776665	293.670847	3.600000	0.830000
R-C080400A3_repaired.h5	69.131997	-425.837996	186.121995	-237.887999	309.648661	159.511328	2.490000	0.830000
R-C080400C2_repaired.h5	159.367852	-819.972114	233.157861	-244.572150	337.631433	139.768576	2.490000	0.550000
R-C080998A.h5	384.741990	-127.457999	275.202012	-344.797988	631.416783	340.573207	5.260000	1.390000
R-C090997A-I2_repaired.h5	617.861162	-399.348830	158.471178	-144.328825	663.151789	160.308233	3.600000	0.830000
R-C090997A-I3.h5	261.528332	-252.601673	137.188336	-32.271667	294.647772	138.632227	3.880000	2.220000
R-C100501A3_repaired.h5	601.550613	-654.219346	164.010619	-371.369370	886.990615	375.209366	5.260000	0.830000
R-C110300A1_repaired.h5	279.974617	-472.635399	271.404609	-285.065392	603.109216	279.320777	2.490000	0.550000
R-C120398A-P1_repaired.h5	349.681421	-612.908545	205.581430	-201.558569	590.372852	213.399280	3.990000	1.330000
R-C120398A-P2_repaired.h5	467.084272	-624.805712	247.384291	-94.485712	751.297131	205.622852	2.660000	1.330000
R-C120501A1_repaired.h5	110.785715	-921.934278	306.625719	-261.044294	242.498095	196.149994	3.600000	0.550000
R-C121097A-I1_repaired.h5	439.388586	-1089.851404	204.838568	-444.971430	945.467828	229.112143	3.600000	1.110000
R-C130897B-I1_repaired.h5	452.694169	-235.915831	262.294175	-151.625838	223.266671	190.091663	2.660000	1.990000
R-C130897B-I4_repaired.h5	117.956153	-401.213838	96.376151	-205.593843	275.177685	236.137692	3.320000	2.660000
R-C140201A1_repaired.h5	553.520789	-439.099237	438.500769	-492.909234	559.197705	458.587689	3.220000	0.300000
R-C140300B-P1_repaired.h5	-8.246111	-601.026140	304.283888	-122.576113	465.218890	157.244450	3.600000	0.830000
R-C140600C-I1_repaired.h5	-42.485627	-927.405598	586.044353	-550.645649	190.926243	290.793759	3.600000	0.550000
R-C140600C-P3_repaired.h5	467.316007	-1016.543978	560.215971	-203.183993	624.376005	191.839330	2.490000	1.110000
R-C150106D.h5	118.245882	-194.404111	97.435885	-53.204118	454.115878	189.674116	2.090000	2.460000
R-C150106E.h5	173.433993	-98.095998	124.694002	-25.516000	243.899327	201.120662	0.490000	1.350000
R-C150106F.h5	43.262940	-141.197056	65.282940	-94.047062	310.821772	97.941767	0.980000	1.600000
R-C150897B-I1_repaired.h5	527.011438	-545.688574	119.771425	-160.398565	1717.497143	199.360001	2.670000	2.000000
R-C150897B-P2_repaired.h5	501.142237	-779.327795	408.072230	-120.437780	1214.882227	141.492228	2.000000	2.000000
R-C170106A.h5	84.121253	-101.538751	78.931250	-50.128751	258.949387	266.300613	0.740000	2.210000
R-C170106B.h5	80.027499	-107.412504	49.947501	-49.832502	267.444586	198.234579	1.470000	1.840000
R-C170106D.h5	51.328335	-126.291668	39.578335	-78.541668	208.108334	75.391666	1.600000	1.590000
R-C170106G.h5	41.640588	-105.199409	32.460587	-46.169410	598.520608	299.970589	1.720000	1.480000
R-C170106H.h5	62.847141	-94.412861	92.107143	-82.812855	100.028570	78.041429	0.860000	1.840000
R-C170500A-I4_cor_repaired.h5	101.298336	-226.381672	63.788334	-112.241665	296.517211	93.077224	1.110000	1.380000
R-C170797A-I4_repaired.h5	347.884672	-1059.365328	395.654661	-349.775332	581.318007	273.638015	4.200000	1.200000
R-C170797A-P1.h5	244.851881	-228.188127	222.251875	-92.438127	226.315632	80.765622	2.400000	1.200000
R-C170797A-P2_repaired.h5	337.309998	-1288.290039	354.329987	-107.730003	940.156640	138.356667	3.000000	1.800000
R-C170897A-I1_repaired.h5	271.683839	-395.046142	225.593843	-169.106154	397.573084	228.566930	4.000000	1.330000
R-C170897A-P2.h5	-9.234666	-1267.474637	372.495333	-104.814664	294.213325	145.503333	2.670000	1.110000
R-C170897A-P3-repaired.h5	268.089227	-1835.000769	384.729242	-177.020774	866.899255	180.589227	2.000000	1.330000
R-C170998D-I3_repaired.h5	142.156670	-334.133338	114.596665	-98.973335	244.401105	138.973890	3.600000	1.390000
R-C170998D-I4_repaired.h5	289.535342	-272.024656	143.985339	-99.684667	188.646661	131.821341	4.160000	1.390000
R-C180298A-I4.h5	302.854621	-495.145379	247.994621	-411.395379	635.843873	255.436156	2.670000	1.330000
R-C180298A-P2_repaired.h5	301.961242	-539.018769	381.901244	-205.898744	624.493740	217.712507	2.670000	1.330000
R-C180298B-I3_repaired.h5	739.243740	-421.736240	183.953747	-271.006260	554.681243	198.891249	3.600000	0.830000
R-C180997A-P3_repaired.h5	262.068674	-986.051321	261.818674	-199.411337	676.235324	214.555998	4.670000	2.000000
R-C181200A2_repaired.h5	94.364167	-1309.755843	239.574174	-176.325835	209.619995	213.820007	3.050000	0.550000
R-C190199A-P3.h5	78.995625	-498.474376	299.365620	-135.534374	405.881255	162.866870	2.500000	1.110000
R-C190898A-I1_repaired.h5	371.270614	-623.489365	148.860626	-142.389374	1019.123745	156.674373	2.770000	0.830000
R-C190898A-P2_repaired.h5	326.717694	-629.172291	363.957684	-87.672306	759.695397	231.534614	1.940000	1.110000
R-C190898A-P3_repaired.h5	-7.370000	-432.739990	342.510010	-137.250000	1177.889300	146.370709	3.050000	1.110000
R-C190997A-I1_repaired.h5	614.776029	-1113.934054	226.385999	-93.023997	1894.285372	194.702664	5.330000	1.340000
R-C200897C-I1_repaired.h5	491.684368	-477.855610	175.864376	-207.835621	356.076862	182.386874	2.000000	1.340000
R-C200897C-P2_repaired.h5	356.249286	-1226.130719	455.289294	-161.110715	1653.032172	270.642158	3.980000	2.000000
R-C200897C-P3.h5	380.554533	-1289.295503	445.264555	-56.935453	781.003636	68.766360	2.660000	2.000000
R-C200897C-P4_repaired.h5	460.346881	-1282.853101	464.536884	-158.823132	1198.001875	200.978746	2.000000	1.330000
R-C210797A-I_cor_repaired.h5	25.320000	-842.330017	289.040009	-564.140015	263.349292	270.512867	2.660000	1.330000
