R-BJM141005C2_A_cor	1	HC
R-BJM141005C2_B_cor	1	CRC
R-C210797A-I	2	BP
R-C230998A-I3   	2	BP
R-C200199B-I3   	2	BTC
R-C080400A3     	2	ChC
R-C080400C2	2	DBC
R-C181200A2     	2	DBC
R-C230300D1     	2	LBC
R-C170797A-I4   	2	MC
R-C290500B-I3   	2	MC
R-C050398B-I4   	2	NBC
R-C140300B-I3   	2	NBC
R-C250500A-I4   	2	NBC
R-C281199A-IN   	2	NBC
R-C250500A-I4   	2	NGC
R-C281199A-IN   	2	NGC
R-C170500A-I4   	2	SBC
R-C140600C-I1   	3	BP
R-C190898A-I1   	3	BTC
R-C240797B-I2   	3	BTC
R-C080400A3     	3	ChC
R-C120501A1     	3	DBC
R-C230300D1     	3	LBC
R-C050600B2     	3	MC
R-C060400C1     	3	MC
R-C100501A3     	3	MC
R-C121097A-I1   	3	MC
R-C040600B3     	3	NBC
R-C170998D-I4   	3	NBC
R-C240998A-I3   	3	NBC
R-C170998D-I4   	3	NGC
R-C240998A-I3   	3	NGC
R-C110300A1     	3	SBC
R-C140600C-I1   	4	BP
R-C140898A-I1   	4	BTC
R-C250298A-I4   	4	BTC
R-C120501A1	4	DBC
R-C080400A3     	4	ChC
R-C050800E2_cor	4	L4SS
R-C120398A-P1   	4	L4SS
R-C120398A-P2   	4	L4SS
R-C120398A-P3   	4	L4SS
R-C010398B-I4   	4	LBC
R-C010600B1     	4	LBC
R-C271097A-I4   	4	LBC
R-C281197A-I4   	4	LBC
R-C310897A-I2   	4	LBC
R-C150897B-I1   	4	MC
R-C190997A-I1   	4	MC
R-C230998C-I4   	4	MC
R-C010600A2     	4	NBC
R-C040600B1     	4	NBC
R-C010600A2     	4	NGC
R-C040600B1     	4	NGC
R-C110300A1     	4	SBC
R-C240300C1     	5	BP
R-C140898A-I1   	5	BTC
R-C250298A-I4   	5	BTC
R-C080400A3     	5	ChC
R-C120501A1	5	DBC
R-L5CHPC        	5	 L5CHPC         
R-C030397A-P3_repaired  5	L5CSPC
R-C030796A-P2_repaired	5	L5CSPC
R-C030796A-P3_repaired	5	L5CSPC
R-C040896A-P3_repaired	5	L5CSPC
R-C050896A-P1_repaired 	5	L5CSPC
R-C050896A-P2_repaired 	5	L5CSPC
R-C050896A-P3_repaired 	5	L5CSPC
R-C220197A-P3_repaired 	5	L5CSPC
R-C231296A-P3_repaired 	5	L5CSPC
R-C231296A-P4A2_repaired	5	L5CSPC
R-C261296A-P2_repaired 	5	L5CSPC
R-CA100123-P0_fixNL	5	L5CSPC 
R-C270999B-P3_repaired	5	L5CSPC
R-CC100123-P1_repaired	5	L5CSPC
R-C010398B-I4   	5	LBC
R-C010600B1     	5	LBC
R-C180298B-I3   	5	MC
R-C010600A2     	5	NBC
R-C040600B1     	5	NBC
R-C010600A2     	5	NGC
R-C040600B1     	5	NGC
R-C200897C-I1   	5	SBC
R-C240300C1     	6	BP
R-C140898A-I1   	6	BTC
R-C250298A-I4   	6	BTC
R-C080400A3     	6	ChC
R-C120501A1	6	DBC
R-C220197A-P3   	6	L6CCPC
R-C231296A-P3   	6	L6CCPC
R-L6CTPC_cor	6	L6CTPC
R-C140600C-P3	6	L6CSPC
R-C010398B-I4   	6	LBC
R-C010600B1     	6	LBC
R-C010600A2     	6	NBC
R-C040600B1     	6	NBC
R-C010600A2     	6	NGC
R-C040600B1     	6	NGC
R-C200897C-I1   	6	SBC
R-060407_TKB060123a2_Ch7_l6ct_x_DB_60x_2	6	L6CTPC
R-060508_TKB060329a2_Ch1_l6cc_o_DB_60x_2	6	L6CCPC
R-060601_TKB060224a3_Ch1_l6ct_o_DB_60x_2	6	L6CTPC
R-060630_TKB060508c1_Ch3_l6mc_n_tkb_100x_2	6	MC
R-060711_TKB060510b2_Ch7_l6ct_n_DB_60x_2	6	L6CTPC
R-060712_TKB060510b1_Ch1_l6ct_n_DB_60x_1	6	L6CTPC
R-060716_TKB060510b2_Ch5_l6ct_n_DB_100x_1	6	L6CTPC
R-060727_TKB050417a4_Ch2_l6cc_n_nn_60x_2	6	L6CCPC
